iter	Passed	Remaining
0	349	349598
1	745	371981
2	1083	360013
3	1433	356964
4	1774	353047
5	2109	349510
6	2404	341035
7	2695	334218
8	3023	332947
9	3342	330943
10	3684	331264
11	4048	333293
12	4394	333635
13	4718	332325
14	5184	340416
15	5460	335845
16	5838	337628
17	6166	336417
18	6477	334429
19	6821	334270
20	7193	335363
21	7482	332619
22	7814	331942
23	8138	330979
24	8463	330084
25	8822	330487
26	9076	327078
27	9392	326069
28	9722	325526
29	10007	323570
30	10292	321725
31	10530	318554
32	10930	320296
33	11244	319463
34	11536	318074
35	11864	317714
36	12201	317581
37	12526	317114
38	12879	317356
39	13170	316098
40	13536	316615
41	14015	319696
42	14628	325576
43	15001	325939
44	15362	326032
45	15897	329690
46	16283	330166
47	16689	331013
48	17006	330061
49	17371	330054
50	17733	329985
51	18088	329766
52	18383	328481
53	18683	327298
54	18982	326150
55	19259	324660
56	19542	323307
57	19811	321763
58	20171	321723
59	20434	320146
60	20700	318649
61	21014	317928
62	21387	318093
63	21706	317463
64	22055	317255
65	22387	316813
66	22695	316038
67	23098	316580
68	23424	316058
69	23778	315917
70	24153	316040
71	24529	316158
72	24876	315895
73	25222	315624
74	25568	315345
75	25871	314539
76	26211	314201
77	26554	313884
78	26875	313319
79	27186	312641
80	27518	312211
81	27818	311428
82	28167	311205
83	28534	311166
84	28876	310848
85	29219	310545
86	29569	310312
87	29859	309451
88	30170	308828
89	30469	308083
90	30762	307288
91	31080	306755
92	31385	306095
93	31673	305274
94	32018	305015
95	32385	304966
96	32713	304535
97	32985	303598
98	33282	302905
99	33574	302174
100	33882	301587
101	34194	301049
102	34558	300962
103	34973	301314
104	35359	301401
105	35730	301345
106	36239	302446
107	36825	304152
108	37168	303824
109	37475	303209
110	37917	303677
111	38198	302857
112	38422	301600
113	38715	300894
114	39038	300429
115	39387	300162
116	39779	300216
117	40416	302095
118	40769	301830
119	41184	302017
120	41581	302068
121	41868	301317
122	42200	300891
123	42775	302187
124	43184	302291
125	43486	301641
126	43861	301501
127	44254	301486
128	44578	300988
129	44922	300636
130	45293	300461
131	45810	301237
132	46384	302374
133	46928	303287
134	47405	303749
135	47806	303712
136	48127	303170
137	48431	302524
138	48931	303093
139	49274	302684
140	49593	302135
141	49925	301662
142	50298	301437
143	50662	301160
144	51189	301839
145	51603	301847
146	51920	301281
147	52411	301718
148	52865	301939
149	53211	301532
150	53581	301264
151	54110	301879
152	54389	301097
153	54711	300559
154	55026	299980
155	55381	299630
156	55677	298955
157	56200	299497
158	56637	299574
159	56969	299089
160	57273	298462
161	57551	297707
162	57902	297327
163	58310	297243
164	58653	296824
165	59013	296489
166	59354	296062
167	59622	295271
168	59926	294666
169	60275	294286
170	60724	294388
171	61524	296174
172	62122	296966
173	62487	296635
174	62822	296161
175	63269	296218
176	63606	295750
177	63988	295497
178	65530	300561
179	66072	300996
180	66463	300739
181	66823	300338
182	67227	300134
183	67573	299671
184	67996	299552
185	68447	299548
186	68863	299389
187	69224	298990
188	69566	298510
189	69854	297801
190	70192	297305
191	70481	296611
192	70949	296663
193	71368	296510
194	71761	296247
195	72220	296252
196	72646	296118
197	73025	295790
198	73321	295126
199	73707	294828
200	74038	294312
201	74338	293672
202	74699	293277
203	75654	295201
204	76369	296163
205	76697	295619
206	77423	296602
207	77809	296272
208	78212	296011
209	78512	295356
210	78977	295321
211	79320	294831
212	80338	296836
213	81477	299258
214	81939	299174
215	82790	300499
216	83393	300908
217	84075	301593
218	84946	302935
219	85513	303183
220	85995	303125
221	86583	303431
222	87109	303516
223	87644	303625
224	88203	303812
225	88821	304192
226	89401	304438
227	90006	304758
228	90599	305032
229	91160	305189
230	91714	305317
231	92236	305335
232	92731	305257
233	93185	305042
234	93851	305517
235	94407	305625
236	95021	305913
237	95703	306413
238	96264	306515
239	96752	306384
240	97218	306176
241	97732	306119
242	98314	306270
243	98820	306182
244	99390	306284
245	99936	306308
246	100521	306447
247	101140	306684
248	101669	306642
249	102241	306724
250	102886	307020
251	103395	306905
252	103911	306806
253	104345	306464
254	104888	306439
255	105543	306734
256	106051	306600
257	106674	306792
258	107164	306598
259	108354	308393
260	109453	309909
261	110631	311625
262	111702	313022
263	112604	313929
264	113387	314490
265	113936	314395
266	114515	314380
267	115303	314933
268	116095	315486
269	116687	315488
270	117163	315173
271	117742	315133
272	118381	315251
273	118870	314962
274	119347	314643
275	120221	315362
276	120910	315588
277	121436	315386
278	122265	315961
279	122930	316107
280	123527	316072
281	124033	315802
282	124711	315964
283	125145	315506
284	125527	314920
285	125936	314401
286	126478	314213
287	126926	313790
288	127480	313629
289	128007	313396
290	128592	313305
291	129305	313522
292	129952	313570
293	130485	313342
294	130987	313038
295	131538	312849
296	132152	312805
297	132664	312517
298	133164	312201
299	133925	312493
300	134475	312286
301	134959	311927
302	135486	311663
303	136250	311941
304	136854	311849
305	137440	311712
306	137934	311364
307	138501	311177
308	139583	312143
309	140845	313495
310	142183	314998
311	143353	316112
312	144992	318242
